feature,gain,split
gold__aircraft_age_months,339642.0811576843,425
calendar_year,207081.39088249207,577
gold__dose_acceleration,114979.81010341644,219
gold__temperature_range,55291.14555597305,1038
gold__avg_temperature,46733.40414905548,749
platinum__chemical_dominance,42282.66477108002,709
gold__humidity_stability,38621.70641040802,585
gold__critical_time_cumulative,37686.838383197784,301
platinum__accelerated_aging_index,36330.14293861389,178
gold__atm_corrosion_avg_24m,36155.7788105011,397
gold__avg_sea_salt_exposure,33882.82169628143,526
gold__chem_aggr_max_24m,26048.87514781952,491
gold__avg_parking_hours,25876.168550491333,449
gold__long_parking_frequency,19292.98171234131,343
gold__salt_exposure_avg_24m,17729.913957595825,223
gold__critical_exposure_last_24m,17240.996690750122,295
gold__chem_aggr_max_12m,14545.80435180664,254
metar_relative_humidity__last_12_mean,8853.238047122955,161
gold__critical_exposure_last_12m,6144.276081562042,119
platinum__aggressivity_streak,5608.9521198272705,92
total_parking_minutes__last_12_mean,5309.377902984619,112
gold__humidity_volatility_12m,3783.6918172836304,74
sea_salt_aerosol_003_05_mixing_ratio__last_12_mean,3709.480809211731,64
sci__biogenic_voc,3246.329496383667,54
bronze__parking_hours,3082.8690299987793,79
sci__sulfate_chloride_interaction,2828.675230026245,42
sci__dust_moisture_trap,2746.8738946914673,65
gold__salt_exposure_avg_6m,2455.146884918213,38
sci__hno3_wet_film,2375.2404069900513,35
sci__marine_industrial_sulfate,2372.4458017349243,50
total_parking_minutes__last_6_mean,2331.889093399048,51
bronze__organic_matter_total,2159.6592922210693,47
sci__formaldehyde_oxidation,2150.542699813843,47
sci__combustion_plume_index,2148.3249492645264,48
gold__chem_aggr_max_6m,2038.981608390808,45
sci__hydrophilic_water_retention,1780.5873861312866,33
total_parking_minutes__delta_lag1,1559.5751953125,41
sci__hno3_corrosivity,1422.1442079544067,30
sci__no2_particle_corrosion,1218.0146884918213,26
bronze__nitrogen_compounds,1187.496090888977,25
sci__multi_pollutant_dose,1010.6806983947754,20
gold__exposure_acceleration_ratio,912.8659019470215,23
